task_id,category,route,variant,prompt_local,completion_local,prompt_cloud,completion_cloud,total_local,total_cloud,total,cloud_fraction,functional_pass,composite,cost_openai-gpt5.5_usd,cost_openai-gpt5_usd,cost_openai-gpt5-mini_usd,cost_anthropic-claude-opus-4.7_usd,cost_anthropic-claude-sonnet-4.6_usd,cost_anthropic-claude-haiku-4.5_usd
humaneval-plus/HumanEval_99,A,R1,v1-qwen,0,0,175,352,0,527,527,1.000000,true,1.000000,0.011435,0.003739,0.000748,0.029025,0.005805,0.001935
humaneval-plus/HumanEval_99,A,R2,v1-qwen,195,211,0,0,406,0,406,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_99,A,R3,v1-qwen,6422,3139,3888,1519,9561,5407,14968,0.361237,true,1.000000,0.065010,0.020050,0.004010,0.172245,0.034449,0.011483
humaneval-plus/HumanEval_123,A,R1,v1-qwen,0,0,252,409,0,661,661,1.000000,true,1.000000,0.013530,0.004405,0.000881,0.034455,0.006891,0.002297
humaneval-plus/HumanEval_123,A,R2,v1-qwen,264,323,0,0,587,0,587,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_123,A,R3,v1-qwen,5040,1730,2781,1419,6770,4200,10970,0.382862,true,1.000000,0.056475,0.017666,0.003533,0.148140,0.029628,0.009876
humaneval-plus/HumanEval_103,A,R1,v1-qwen,0,0,159,575,0,734,734,1.000000,true,1.000000,0.018045,0.005949,0.001190,0.045510,0.009102,0.003034
humaneval-plus/HumanEval_103,A,R2,v1-qwen,183,212,0,0,395,0,395,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_103,A,R3,v1-qwen,6155,1164,521,657,7319,1178,8497,0.138637,false,0.000000,0.022315,0.007221,0.001444,0.057090,0.011418,0.003806
humaneval-plus/HumanEval_161,A,R1,v1-qwen,0,0,126,228,0,354,354,1.000000,true,1.000000,0.007470,0.002437,0.000488,0.018990,0.003798,0.001266
humaneval-plus/HumanEval_161,A,R2,v1-qwen,144,175,0,0,319,0,319,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_161,A,R3,v1-qwen,4085,753,1559,839,4838,2398,7236,0.331399,true,1.000000,0.032965,0.010339,0.002068,0.086310,0.017262,0.005754
humaneval-plus/HumanEval_154,A,R1,v1-qwen,0,0,146,390,0,536,536,1.000000,true,1.000000,0.012430,0.004083,0.000816,0.031440,0.006288,0.002096
humaneval-plus/HumanEval_154,A,R2,v1-qwen,156,189,0,0,345,0,345,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_154,A,R3,v1-qwen,1588,416,3140,1419,2004,4559,6563,0.694652,true,1.000000,0.058270,0.018115,0.003623,0.153525,0.030705,0.010235
humaneval-plus/HumanEval_15,A,R1,v1-qwen,0,0,87,99,0,186,186,1.000000,true,1.000000,0.003405,0.001099,0.000220,0.008730,0.001746,0.000582
humaneval-plus/HumanEval_15,A,R2,v1-qwen,100,91,0,0,191,0,191,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_15,A,R3,v1-qwen,3554,726,449,569,4280,1018,5298,0.192148,false,0.000000,0.019315,0.006251,0.001250,0.049410,0.009882,0.003294
humaneval-plus/HumanEval_13,A,R1,v1-qwen,0,0,89,148,0,237,237,1.000000,true,1.000000,0.004885,0.001591,0.000318,0.012435,0.002487,0.000829
humaneval-plus/HumanEval_13,A,R2,v1-qwen,99,106,0,0,205,0,205,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_13,A,R3,v1-qwen,335,108,451,190,443,641,1084,0.591328,true,1.000000,0.007955,0.002464,0.000493,0.021015,0.004203,0.001401
humaneval-plus/HumanEval_121,A,R1,v1-qwen,0,0,116,227,0,343,343,1.000000,true,1.000000,0.007390,0.002415,0.000483,0.018765,0.003753,0.001251
humaneval-plus/HumanEval_121,A,R2,v1-qwen,131,134,0,0,265,0,265,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_121,A,R3,v1-qwen,2590,534,1332,651,3124,1983,5107,0.388291,true,1.000000,0.026190,0.008175,0.001635,0.068805,0.013761,0.004587
humaneval-plus/HumanEval_77,A,R1,v1-qwen,0,0,129,305,0,434,434,1.000000,true,1.000000,0.009795,0.003211,0.000642,0.024810,0.004962,0.001654
humaneval-plus/HumanEval_77,A,R2,v1-qwen,144,168,0,0,312,0,312,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_77,A,R3,v1-qwen,674,232,1529,1162,906,2691,3597,0.748123,true,1.000000,0.042505,0.013531,0.002706,0.110085,0.022017,0.007339
humaneval-plus/HumanEval_118,A,R1,v1-qwen,0,0,165,453,0,618,618,1.000000,true,1.000000,0.014415,0.004736,0.000947,0.036450,0.007290,0.002430
humaneval-plus/HumanEval_118,A,R2,v1-qwen,183,364,0,0,547,0,547,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_118,A,R3,v1-qwen,3213,983,1845,776,4196,2621,6817,0.384480,true,1.000000,0.032505,0.010066,0.002013,0.085875,0.017175,0.005725
swebench-verified/sphinx-doc__sphinx-7889,B,R1,v1-qwen,0,0,402,7008,0,7410,7410,1.000000,false,0.000000,0.212250,0.070583,0.014117,0.531630,0.106326,0.035442
swebench-verified/sphinx-doc__sphinx-7889,B,R2,v1-qwen,436,324,0,0,760,0,760,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-7889,B,R3,v1-qwen,12032,2692,5436,4488,14724,9924,24648,0.402629,false,0.000000,0.161820,0.051675,0.010335,0.418140,0.083628,0.027876
swebench-verified/django__django-13512,B,R1,v1-qwen,0,0,187,4082,0,4269,4269,1.000000,false,0.000000,0.123395,0.041054,0.008211,0.308955,0.061791,0.020597
swebench-verified/django__django-13512,B,R2,v1-qwen,220,207,0,0,427,0,427,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-13512,B,R3,v1-qwen,13710,2566,4349,3631,16276,7980,24256,0.328991,false,0.000000,0.130675,0.041746,0.008349,0.337560,0.067512,0.022504
swebench-verified/django__django-11179,B,R1,v1-qwen,0,0,141,4265,0,4406,4406,1.000000,true,1.000000,0.128655,0.042826,0.008565,0.321990,0.064398,0.021466
swebench-verified/django__django-11179,B,R2,v1-qwen,171,133,0,0,304,0,304,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-11179,B,R3,v1-qwen,12992,2811,4084,3646,15803,7730,23533,0.328475,false,0.000000,0.129800,0.041565,0.008313,0.334710,0.066942,0.022314
swebench-verified/sphinx-doc__sphinx-9698,B,R1,v1-qwen,0,0,320,7092,0,7412,7412,1.000000,false,0.000000,0.214360,0.071320,0.014264,0.536700,0.107340,0.035780
swebench-verified/sphinx-doc__sphinx-9698,B,R2,v1-qwen,368,94,0,0,462,0,462,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-9698,B,R3,v1-qwen,13039,1862,4161,5069,14901,9230,24131,0.382496,false,0.000000,0.172875,0.055891,0.011178,0.442590,0.088518,0.029506
swebench-verified/django__django-15863,B,R1,v1-qwen,0,0,270,7087,0,7357,7357,1.000000,false,0.000000,0.213960,0.071208,0.014242,0.535575,0.107115,0.035705
swebench-verified/django__django-15863,B,R2,v1-qwen,333,315,0,0,648,0,648,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-15863,B,R3,v1-qwen,12561,3340,5161,5166,15901,10327,26228,0.393740,false,0.000000,0.180785,0.058111,0.011622,0.464865,0.092973,0.030991
swebench-verified/pydata__xarray-4356,B,R1,v1-qwen,0,0,286,3814,0,4100,4100,1.000000,false,0.000000,0.115850,0.038497,0.007700,0.290340,0.058068,0.019356
swebench-verified/pydata__xarray-4356,B,R2,v1-qwen,320,168,0,0,488,0,488,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/pydata__xarray-4356,B,R3,v1-qwen,11772,3256,4375,3251,15028,7626,22654,0.336629,false,0.000000,0.119405,0.037979,0.007596,0.309450,0.061890,0.020630
swebench-verified/sphinx-doc__sphinx-9711,B,R1,v1-qwen,0,0,488,4782,0,5270,5270,1.000000,false,0.000000,0.145900,0.048430,0.009686,0.365970,0.073194,0.024398
swebench-verified/sphinx-doc__sphinx-9711,B,R2,v1-qwen,511,322,0,0,833,0,833,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-9711,B,R3,v1-qwen,16584,4479,7338,5372,21063,12710,33773,0.376336,false,0.000000,0.197850,0.062893,0.012578,0.512970,0.102594,0.034198
swebench-verified/django__django-15315,B,R1,v1-qwen,0,0,268,3419,0,3687,3687,1.000000,false,0.000000,0.103910,0.034525,0.006905,0.260445,0.052089,0.017363
swebench-verified/django__django-15315,B,R2,v1-qwen,306,176,0,0,482,0,482,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-15315,B,R3,v1-qwen,9568,2237,4341,4782,11805,9123,20928,0.435923,false,0.000000,0.165165,0.053246,0.010649,0.423765,0.084753,0.028251
swebench-verified/astropy__astropy-7166,B,R1,v1-qwen,0,0,118,2235,0,2353,2353,1.000000,true,1.000000,0.067640,0.022498,0.004500,0.169395,0.033879,0.011293
swebench-verified/astropy__astropy-7166,B,R2,v1-qwen,141,196,0,0,337,0,337,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/astropy__astropy-7166,B,R3,v1-qwen,12204,3783,5065,3100,15987,8165,24152,0.338067,false,0.000000,0.118325,0.037331,0.007466,0.308475,0.061695,0.020565
swebench-verified/django__django-11163,B,R1,v1-qwen,0,0,177,667,0,844,844,1.000000,true,1.000000,0.020895,0.006891,0.001378,0.052680,0.010536,0.003512
swebench-verified/django__django-11163,B,R2,v1-qwen,200,173,0,0,373,0,373,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-11163,B,R3,v1-qwen,8804,2017,3130,1658,10821,4788,15609,0.306746,true,1.000000,0.065390,0.020493,0.004098,0.171300,0.034260,0.011420
bigcodebench-hard/BigCodeBench/214,C,R1,v1-qwen,0,0,130,792,0,922,922,1.000000,false,0.800000,0.024410,0.008082,0.001616,0.061350,0.012270,0.004090
bigcodebench-hard/BigCodeBench/214,C,R2,v1-qwen,147,324,0,0,471,0,471,0.000000,false,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/214,C,R3,v1-qwen,4004,746,1588,1348,4750,2936,7686,0.381993,false,0.800000,0.048380,0.015465,0.003093,0.124920,0.024984,0.008328
bigcodebench-hard/BigCodeBench/82,C,R1,v1-qwen,0,0,247,1031,0,1278,1278,1.000000,false,0.833333,0.032165,0.010619,0.002124,0.081030,0.016206,0.005402
bigcodebench-hard/BigCodeBench/82,C,R2,v1-qwen,261,706,0,0,967,0,967,0.000000,false,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/82,C,R3,v1-qwen,10448,3634,4656,2122,14082,6778,20860,0.324928,false,0.833333,0.086940,0.027040,0.005408,0.228990,0.045798,0.015266
bigcodebench-hard/BigCodeBench/530,C,R1,v1-qwen,0,0,263,960,0,1223,1223,1.000000,true,1.000000,0.030115,0.009929,0.001986,0.075945,0.015189,0.005063
bigcodebench-hard/BigCodeBench/530,C,R2,v1-qwen,269,674,0,0,943,0,943,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/530,C,R3,v1-qwen,8698,2994,4126,1766,11692,5892,17584,0.335077,true,1.000000,0.073610,0.022817,0.004563,0.194340,0.038868,0.012956
bigcodebench-hard/BigCodeBench/501,C,R1,v1-qwen,0,0,165,2546,0,2711,2711,1.000000,false,0.666667,0.077205,0.025666,0.005133,0.193425,0.038685,0.012895
bigcodebench-hard/BigCodeBench/501,C,R2,v1-qwen,174,613,0,0,787,0,787,0.000000,false,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/501,C,R3,v1-qwen,5882,2561,3442,3245,8443,6687,15130,0.441970,false,0.000000,0.114560,0.036753,0.007351,0.295005,0.059001,0.019667
bigcodebench-hard/BigCodeBench/458,C,R1,v1-qwen,0,0,235,889,0,1124,1124,1.000000,true,1.000000,0.027845,0.009184,0.001837,0.070200,0.014040,0.004680
bigcodebench-hard/BigCodeBench/458,C,R2,v1-qwen,240,481,0,0,721,0,721,0.000000,false,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/458,C,R3,v1-qwen,0,0,0,0,0,0,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/auth-multitenant-design,C,R1,v1-qwen,0,0,300,8000,0,8300,8300,1.000000,false,0.000000,0.241500,0.080375,0.016075,0.604500,0.120900,0.040300
custom-arch/auth-multitenant-design,C,R2,v1-qwen,310,3026,0,0,3336,0,3336,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/auth-multitenant-design,C,R3,v1-qwen,8486,7506,18217,10063,15992,28280,44272,0.638778,false,0.000000,0.392975,0.123401,0.024680,1.027980,0.205596,0.068532
custom-arch/migration-planning-zero-downtime,C,R1,v1-qwen,0,0,392,8000,0,8392,8392,1.000000,false,0.000000,0.241960,0.080490,0.016098,0.605880,0.121176,0.040392
custom-arch/migration-planning-zero-downtime,C,R2,v1-qwen,417,2831,0,0,3248,0,3248,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/migration-planning-zero-downtime,C,R3,v1-qwen,9618,8445,17512,10000,18063,27512,45575,0.603664,false,0.000000,0.387560,0.121890,0.024378,1.012680,0.202536,0.067512
custom-arch/code-review-flaky-test,C,R1,v1-qwen,0,0,546,8000,0,8546,8546,1.000000,false,0.000000,0.242730,0.080683,0.016137,0.608190,0.121638,0.040546
custom-arch/code-review-flaky-test,C,R2,v1-qwen,580,3019,0,0,3599,0,3599,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/code-review-flaky-test,C,R3,v1-qwen,13601,12000,18477,7236,25601,25713,51314,0.501091,false,0.000000,0.309465,0.095456,0.019091,0.819855,0.163971,0.054657
custom-arch/cache-invalidation-tradeoffs,C,R1,v1-qwen,0,0,286,6919,0,7205,7205,1.000000,,0.750000,0.209000,0.069547,0.013909,0.523215,0.104643,0.034881
custom-arch/cache-invalidation-tradeoffs,C,R2,v1-qwen,301,2404,0,0,2705,0,2705,0.000000,,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/cache-invalidation-tradeoffs,C,R3,v1-qwen,13905,8578,13470,7697,22483,21167,43650,0.484926,false,0.000000,0.298260,0.093807,0.018762,0.779325,0.155865,0.051955
custom-arch/production-debug-reasoning,C,R1,v1-qwen,0,0,372,8000,0,8372,8372,1.000000,false,0.000000,0.241860,0.080465,0.016093,0.605580,0.121116,0.040372
custom-arch/production-debug-reasoning,C,R2,v1-qwen,404,2683,0,0,3087,0,3087,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/production-debug-reasoning,C,R3,v1-qwen,3274,4048,13277,14907,7322,28184,35506,0.793781,false,0.000000,0.513595,0.165666,0.033133,1.317180,0.263436,0.087812
bigcodebench-hard/BigCodeBench/214,C,R1,v2-qwen-fixed,0,0,130,790,0,920,920,1.000000,false,0.800000,0.024350,0.008063,0.001613,0.061200,0.012240,0.004080
