variant,task_id,route,category,source_run,cost_openai-gpt5.5,cost_openai-gpt5,cost_openai-gpt5-mini,cost_anthropic-claude-opus-4.7,cost_anthropic-claude-sonnet-4.6,cloud_tokens,local_tokens
v1-qwen,humaneval-plus/HumanEval_99,R1,A,mvp/raw.jsonl,0.011435,0.003739,0.000748,0.029025,0.005805,527,0
v1-qwen,humaneval-plus/HumanEval_99,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,406,406
v1-qwen,humaneval-plus/HumanEval_99,R3,A,mvp/raw.jsonl,0.065010,0.020050,0.004010,0.172245,0.034449,5407,9561
v1-qwen,humaneval-plus/HumanEval_123,R1,A,mvp/raw.jsonl,0.013530,0.004405,0.000881,0.034455,0.006891,661,0
v1-qwen,humaneval-plus/HumanEval_123,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,587,587
v1-qwen,humaneval-plus/HumanEval_123,R3,A,mvp/raw.jsonl,0.056475,0.017666,0.003533,0.148140,0.029628,4200,6770
v1-qwen,humaneval-plus/HumanEval_103,R1,A,mvp/raw.jsonl,0.018045,0.005949,0.001190,0.045510,0.009102,734,0
v1-qwen,humaneval-plus/HumanEval_103,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,395,395
v1-qwen,humaneval-plus/HumanEval_103,R3,A,mvp/raw.jsonl,0.022315,0.007221,0.001444,0.057090,0.011418,1178,7319
v1-qwen,humaneval-plus/HumanEval_161,R1,A,mvp/raw.jsonl,0.007470,0.002437,0.000488,0.018990,0.003798,354,0
v1-qwen,humaneval-plus/HumanEval_161,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,319,319
v1-qwen,humaneval-plus/HumanEval_161,R3,A,mvp/raw.jsonl,0.032965,0.010339,0.002068,0.086310,0.017262,2398,4838
v1-qwen,humaneval-plus/HumanEval_154,R1,A,mvp/raw.jsonl,0.012430,0.004083,0.000816,0.031440,0.006288,536,0
v1-qwen,humaneval-plus/HumanEval_154,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,345,345
v1-qwen,humaneval-plus/HumanEval_154,R3,A,mvp/raw.jsonl,0.058270,0.018115,0.003623,0.153525,0.030705,4559,2004
v1-qwen,humaneval-plus/HumanEval_15,R1,A,mvp/raw.jsonl,0.003405,0.001099,0.000220,0.008730,0.001746,186,0
v1-qwen,humaneval-plus/HumanEval_15,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,191,191
v1-qwen,humaneval-plus/HumanEval_15,R3,A,mvp/raw.jsonl,0.019315,0.006251,0.001250,0.049410,0.009882,1018,4280
v1-qwen,humaneval-plus/HumanEval_13,R1,A,mvp/raw.jsonl,0.004885,0.001591,0.000318,0.012435,0.002487,237,0
v1-qwen,humaneval-plus/HumanEval_13,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,205,205
v1-qwen,humaneval-plus/HumanEval_13,R3,A,mvp/raw.jsonl,0.007955,0.002464,0.000493,0.021015,0.004203,641,443
v1-qwen,humaneval-plus/HumanEval_121,R1,A,mvp/raw.jsonl,0.007390,0.002415,0.000483,0.018765,0.003753,343,0
v1-qwen,humaneval-plus/HumanEval_121,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,265,265
v1-qwen,humaneval-plus/HumanEval_121,R3,A,mvp/raw.jsonl,0.026190,0.008175,0.001635,0.068805,0.013761,1983,3124
v1-qwen,humaneval-plus/HumanEval_77,R1,A,mvp/raw.jsonl,0.009795,0.003211,0.000642,0.024810,0.004962,434,0
v1-qwen,humaneval-plus/HumanEval_77,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,312,312
v1-qwen,humaneval-plus/HumanEval_77,R3,A,mvp/raw.jsonl,0.042505,0.013531,0.002706,0.110085,0.022017,2691,906
v1-qwen,humaneval-plus/HumanEval_118,R1,A,mvp/raw.jsonl,0.014415,0.004736,0.000947,0.036450,0.007290,618,0
v1-qwen,humaneval-plus/HumanEval_118,R2,A,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,547,547
v1-qwen,humaneval-plus/HumanEval_118,R3,A,mvp/raw.jsonl,0.032505,0.010066,0.002013,0.085875,0.017175,2621,4196
v1-qwen,swebench-verified/sphinx-doc__sphinx-7889,R1,B,mvp/raw.jsonl,0.212250,0.070583,0.014117,0.531630,0.106326,7410,0
v1-qwen,swebench-verified/sphinx-doc__sphinx-7889,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,760,760
v1-qwen,swebench-verified/sphinx-doc__sphinx-7889,R3,B,mvp/raw.jsonl,0.161820,0.051675,0.010335,0.418140,0.083628,9924,14724
v1-qwen,swebench-verified/django__django-13512,R1,B,mvp/raw.jsonl,0.123395,0.041054,0.008211,0.308955,0.061791,4269,0
v1-qwen,swebench-verified/django__django-13512,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,427,427
v1-qwen,swebench-verified/django__django-13512,R3,B,mvp/raw.jsonl,0.130675,0.041746,0.008349,0.337560,0.067512,7980,16276
v1-qwen,swebench-verified/django__django-11179,R1,B,mvp/raw.jsonl,0.128655,0.042826,0.008565,0.321990,0.064398,4406,0
v1-qwen,swebench-verified/django__django-11179,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,304,304
v1-qwen,swebench-verified/django__django-11179,R3,B,mvp/raw.jsonl,0.129800,0.041565,0.008313,0.334710,0.066942,7730,15803
v1-qwen,swebench-verified/sphinx-doc__sphinx-9698,R1,B,mvp/raw.jsonl,0.214360,0.071320,0.014264,0.536700,0.107340,7412,0
v1-qwen,swebench-verified/sphinx-doc__sphinx-9698,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,462,462
v1-qwen,swebench-verified/sphinx-doc__sphinx-9698,R3,B,mvp/raw.jsonl,0.172875,0.055891,0.011178,0.442590,0.088518,9230,14901
v1-qwen,swebench-verified/django__django-15863,R1,B,mvp/raw.jsonl,0.213960,0.071208,0.014242,0.535575,0.107115,7357,0
v1-qwen,swebench-verified/django__django-15863,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,648,648
v1-qwen,swebench-verified/django__django-15863,R3,B,mvp/raw.jsonl,0.180785,0.058111,0.011622,0.464865,0.092973,10327,15901
v1-qwen,swebench-verified/pydata__xarray-4356,R1,B,mvp/raw.jsonl,0.115850,0.038497,0.007700,0.290340,0.058068,4100,0
v1-qwen,swebench-verified/pydata__xarray-4356,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,488,488
v1-qwen,swebench-verified/pydata__xarray-4356,R3,B,mvp/raw.jsonl,0.119405,0.037979,0.007596,0.309450,0.061890,7626,15028
v1-qwen,swebench-verified/sphinx-doc__sphinx-9711,R1,B,mvp/raw.jsonl,0.145900,0.048430,0.009686,0.365970,0.073194,5270,0
v1-qwen,swebench-verified/sphinx-doc__sphinx-9711,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,833,833
v1-qwen,swebench-verified/sphinx-doc__sphinx-9711,R3,B,mvp/raw.jsonl,0.197850,0.062893,0.012578,0.512970,0.102594,12710,21063
v1-qwen,swebench-verified/django__django-15315,R1,B,mvp/raw.jsonl,0.103910,0.034525,0.006905,0.260445,0.052089,3687,0
v1-qwen,swebench-verified/django__django-15315,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,482,482
v1-qwen,swebench-verified/django__django-15315,R3,B,mvp/raw.jsonl,0.165165,0.053246,0.010649,0.423765,0.084753,9123,11805
v1-qwen,swebench-verified/astropy__astropy-7166,R1,B,mvp/raw.jsonl,0.067640,0.022498,0.004500,0.169395,0.033879,2353,0
v1-qwen,swebench-verified/astropy__astropy-7166,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,337,337
v1-qwen,swebench-verified/astropy__astropy-7166,R3,B,mvp/raw.jsonl,0.118325,0.037331,0.007466,0.308475,0.061695,8165,15987
v1-qwen,swebench-verified/django__django-11163,R1,B,mvp/raw.jsonl,0.020895,0.006891,0.001378,0.052680,0.010536,844,0
v1-qwen,swebench-verified/django__django-11163,R2,B,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,373,373
v1-qwen,swebench-verified/django__django-11163,R3,B,mvp/raw.jsonl,0.065390,0.020493,0.004098,0.171300,0.034260,4788,10821
v1-qwen,bigcodebench-hard/BigCodeBench/214,R1,C,mvp/raw.jsonl,0.024410,0.008082,0.001616,0.061350,0.012270,922,0
v1-qwen,bigcodebench-hard/BigCodeBench/214,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,471,471
v1-qwen,bigcodebench-hard/BigCodeBench/214,R3,C,mvp/raw.jsonl,0.048380,0.015465,0.003093,0.124920,0.024984,2936,4750
v1-qwen,bigcodebench-hard/BigCodeBench/82,R1,C,mvp/raw.jsonl,0.032165,0.010619,0.002124,0.081030,0.016206,1278,0
v1-qwen,bigcodebench-hard/BigCodeBench/82,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,967,967
v1-qwen,bigcodebench-hard/BigCodeBench/82,R3,C,mvp/raw.jsonl,0.086940,0.027040,0.005408,0.228990,0.045798,6778,14082
v1-qwen,bigcodebench-hard/BigCodeBench/530,R1,C,mvp/raw.jsonl,0.030115,0.009929,0.001986,0.075945,0.015189,1223,0
v1-qwen,bigcodebench-hard/BigCodeBench/530,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,943,943
v1-qwen,bigcodebench-hard/BigCodeBench/530,R3,C,mvp/raw.jsonl,0.073610,0.022817,0.004563,0.194340,0.038868,5892,11692
v1-qwen,bigcodebench-hard/BigCodeBench/501,R1,C,mvp/raw.jsonl,0.077205,0.025666,0.005133,0.193425,0.038685,2711,0
v1-qwen,bigcodebench-hard/BigCodeBench/501,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,787,787
v1-qwen,bigcodebench-hard/BigCodeBench/501,R3,C,mvp/raw.jsonl,0.114560,0.036753,0.007351,0.295005,0.059001,6687,8443
v1-qwen,bigcodebench-hard/BigCodeBench/458,R1,C,mvp/raw.jsonl,0.027845,0.009184,0.001837,0.070200,0.014040,1124,0
v1-qwen,bigcodebench-hard/BigCodeBench/458,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,721,721
v1-qwen,bigcodebench-hard/BigCodeBench/458,R3,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
v1-qwen,custom-arch/auth-multitenant-design,R1,C,mvp/raw.jsonl,0.241500,0.080375,0.016075,0.604500,0.120900,8300,0
v1-qwen,custom-arch/auth-multitenant-design,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,3336,3336
v1-qwen,custom-arch/auth-multitenant-design,R3,C,mvp/raw.jsonl,0.392975,0.123401,0.024680,1.027980,0.205596,28280,15992
v1-qwen,custom-arch/migration-planning-zero-downtime,R1,C,mvp/raw.jsonl,0.241960,0.080490,0.016098,0.605880,0.121176,8392,0
v1-qwen,custom-arch/migration-planning-zero-downtime,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,3248,3248
v1-qwen,custom-arch/migration-planning-zero-downtime,R3,C,mvp/raw.jsonl,0.387560,0.121890,0.024378,1.012680,0.202536,27512,18063
v1-qwen,custom-arch/code-review-flaky-test,R1,C,mvp/raw.jsonl,0.242730,0.080683,0.016137,0.608190,0.121638,8546,0
v1-qwen,custom-arch/code-review-flaky-test,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,3599,3599
v1-qwen,custom-arch/code-review-flaky-test,R3,C,mvp/raw.jsonl,0.309465,0.095456,0.019091,0.819855,0.163971,25713,25601
v1-qwen,custom-arch/cache-invalidation-tradeoffs,R1,C,mvp/raw.jsonl,0.209000,0.069547,0.013909,0.523215,0.104643,7205,0
v1-qwen,custom-arch/cache-invalidation-tradeoffs,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,2705,2705
v1-qwen,custom-arch/cache-invalidation-tradeoffs,R3,C,mvp/raw.jsonl,0.298260,0.093807,0.018762,0.779325,0.155865,21167,22483
v1-qwen,custom-arch/production-debug-reasoning,R1,C,mvp/raw.jsonl,0.241860,0.080465,0.016093,0.605580,0.121116,8372,0
v1-qwen,custom-arch/production-debug-reasoning,R2,C,mvp/raw.jsonl,0.000000,0.000000,0.000000,0.000000,0.000000,3087,3087
v1-qwen,custom-arch/production-debug-reasoning,R3,C,mvp/raw.jsonl,0.513595,0.165666,0.033133,1.317180,0.263436,28184,7322
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/214,R1,C,mvp/raw.jsonl,0.024350,0.008063,0.001613,0.061200,0.012240,920,0
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/214,R3,C,mvp/raw.jsonl,0.044860,0.014125,0.002825,0.117120,0.023424,3152,9175
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/82,R1,C,mvp/raw.jsonl,0.055115,0.018269,0.003654,0.138405,0.027681,2043,0
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/82,R3,C,mvp/raw.jsonl,0.082480,0.025773,0.005154,0.216525,0.043305,6191,13436
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/530,R1,C,mvp/raw.jsonl,0.029065,0.009579,0.001916,0.073320,0.014664,1188,0
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/530,R3,C,mvp/raw.jsonl,0.021590,0.006930,0.001386,0.055575,0.011115,1253,7468
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/501,R1,C,mvp/raw.jsonl,0.063615,0.021136,0.004227,0.159450,0.031890,2258,0
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/501,R3,C,mvp/raw.jsonl,0.154835,0.050634,0.010127,0.392955,0.078591,7117,5813
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/458,R1,C,mvp/raw.jsonl,0.042035,0.013914,0.002783,0.105675,0.021135,1597,0
v2-qwen-fixed,bigcodebench-hard/BigCodeBench/458,R3,C,mvp/raw.jsonl,0.077385,0.024224,0.004845,0.202890,0.040578,5722,12606
